Date,Open,High,Low,Close,Adjusted_close,Volume
2021-08-06,146.35,147.11,145.63,146.14,145.3257,54126800
2021-08-09,146.2,146.7,145.52,146.09,145.2759,48908700
2021-08-10,146.44,147.71,145.3,145.6,144.7887,69023100
2021-08-11,146.05,146.72,145.53,145.86,145.0472,48493500
2021-08-12,146.19,149.05,145.84,148.89,148.0603,72282600
2021-08-13,148.97,149.44,148.27,149.1,148.2692,59375000
2021-08-16,148.54,151.19,146.47,151.12,150.2779,103296000
2021-08-17,150.23,151.68,149.09,150.19,149.3531,92229700
2021-08-18,149.8,150.72,146.15,146.36,145.5444,86326000
2021-08-19,145.03,148,144.5,146.7,145.8825,86960300
2021-08-20,147.44,148.5,146.78,148.19,147.3642,60549600
2021-08-23,148.31,150.19,147.89,149.71,148.8758,60131800
2021-08-24,149.45,150.86,149.15,149.62,148.7863,48606400
2021-08-25,149.81,150.32,147.8,148.36,147.5333,58991300
2021-08-26,148.35,149.12,147.51,147.54,146.7179,48597200
2021-08-27,147.48,148.75,146.83,148.6,147.772,55802400
2021-08-30,149,153.49,148.61,153.12,152.2668,90956700
2021-08-31,152.66,152.8,151.29,151.83,150.984,86453100
2021-09-01,152.83,154.98,152.34,152.51,151.6602,80313700
2021-09-02,153.87,154.72,152.4,153.65,152.7938,71115500
2021-09-03,153.76,154.63,153.09,154.3,153.4402,57808700
2021-09-07,154.97,157.26,154.39,156.69,155.8169,82278300
2021-09-08,156.98,157.04,153.98,155.11,154.2457,74420200
2021-09-09,155.49,156.11,153.95,154.07,153.2115,57305700
2021-09-10,155,155.48,148.7,148.97,148.1399,140893200
2021-09-13,150.63,151.42,148.75,149.55,148.7167,102404300
2021-09-14,150.35,151.07,146.91,148.12,147.2946,109296300
2021-09-15,148.56,149.44,146.37,149.03,148.1996,83281300
2021-09-16,148.44,148.97,147.22,148.79,147.9609,68034100
2021-09-17,148.82,148.82,145.76,146.06,145.2461,129868800
2021-09-20,143.8,144.84,141.27,142.94,142.1435,123478900
